,train,val
137,TCGA-A8-A07P,TCGA-E2-A15H
138,TCGA-A8-A07U,TCGA-E2-A15J
139,TCGA-A8-A07W,TCGA-E2-A15L
140,TCGA-A8-A07Z,TCGA-E2-A1IE
141,TCGA-A8-A082,TCGA-E2-A1IH
142,TCGA-A8-A084,TCGA-E2-A1II
143,TCGA-A8-A085,TCGA-E2-A1IO
144,TCGA-A8-A08A,TCGA-E2-A1L7
145,TCGA-A8-A08B,TCGA-E2-A1L8
146,TCGA-A8-A08F,TCGA-E2-A2P6
147,TCGA-A8-A08G,TCGA-E2-A574
148,TCGA-A8-A08I,TCGA-E2-A576
149,TCGA-A8-A08L,TCGA-E9-A1N5
150,TCGA-A8-A08O,TCGA-E9-A1N9
151,TCGA-A8-A08P,TCGA-E9-A1ND
152,TCGA-A8-A08R,TCGA-E9-A1NI
153,TCGA-A8-A08S,TCGA-E9-A1R3
154,TCGA-A8-A08T,TCGA-E9-A1RD
155,TCGA-A8-A08X,TCGA-E9-A1RE
156,TCGA-A8-A091,TCGA-E9-A1RG
157,TCGA-A8-A093,TCGA-E9-A228
158,TCGA-A8-A095,TCGA-E9-A2JS
159,TCGA-A8-A097,TCGA-E9-A54Y
160,TCGA-A8-A099,TCGA-E9-A6HE
161,TCGA-A8-A09A,TCGA-EW-A1IW
162,TCGA-A8-A09B,TCGA-EW-A1IZ
163,TCGA-A8-A09C,TCGA-EW-A1J3
164,TCGA-A8-A09D,TCGA-EW-A1OV
165,TCGA-A8-A09E,TCGA-EW-A1OY
166,TCGA-A8-A09K,TCGA-EW-A1P4
167,TCGA-A8-A09M,TCGA-EW-A1P7
168,TCGA-A8-A09N,TCGA-EW-A1PD
169,TCGA-A8-A09Q,TCGA-EW-A1PH
170,TCGA-A8-A09R,TCGA-EW-A2FR
171,TCGA-A8-A09T,TCGA-EW-A6SA
172,TCGA-A8-A09V,TCGA-GI-A2C8
173,TCGA-A8-A09W,TCGA-GM-A2DI
174,TCGA-A8-A09X,TCGA-LD-A66U
175,TCGA-A8-A0A1,TCGA-LD-A74U
176,TCGA-A8-A0A2,TCGA-LL-A440
177,TCGA-A8-A0A7,TCGA-LL-A6FP
178,TCGA-A8-A0A9,TCGA-LL-A7SZ
179,TCGA-A8-A0AB,TCGA-OL-A5DA
180,TCGA-A8-A0AD,TCGA-OL-A5RW
181,TCGA-AC-A23C,TCGA-OL-A66L
182,TCGA-AC-A23E,TCGA-OL-A6VO
183,TCGA-AC-A23H,TCGA-PL-A8LX
184,TCGA-AC-A2B8,TCGA-PL-A8LZ
185,TCGA-AC-A2BM,TCGA-S3-A6ZF
186,TCGA-AC-A2FB,TCGA-S3-AA15
187,TCGA-AC-A2FG,TCGA-UL-AAZ6
188,TCGA-AC-A2FK,TCGA-UU-A93S
189,TCGA-AC-A2FO,TCGA-Z7-A8R5
190,TCGA-AC-A2QH,TCGA-Z7-A8R6
191,TCGA-AC-A3HN,
192,TCGA-AC-A3OD,
193,TCGA-AC-A3QQ,
194,TCGA-AC-A3W5,
195,TCGA-AC-A3YI,
196,TCGA-AC-A4ZE,
197,TCGA-AC-A5XS,
198,TCGA-AC-A62X,
199,TCGA-AC-A6IV,
200,TCGA-AC-A6IW,
201,TCGA-AC-A6IX,
202,TCGA-AC-A6NO,
203,TCGA-AC-A7VB,
204,TCGA-AC-A7VC,
205,TCGA-AC-A8OP,
206,TCGA-AC-A8OQ,
207,TCGA-AC-A8OR,
208,TCGA-AC-A8OS,
209,TCGA-AN-A03Y,
210,TCGA-AN-A041,
211,TCGA-AN-A046,
212,TCGA-AN-A0AJ,
213,TCGA-AN-A0AL,
214,TCGA-AN-A0AM,
215,TCGA-AN-A0AR,
216,TCGA-AN-A0AS,
217,TCGA-AN-A0AT,
218,TCGA-AN-A0FD,
219,TCGA-AN-A0FF,
220,TCGA-AN-A0FN,
221,TCGA-AN-A0FS,
222,TCGA-AN-A0FW,
223,TCGA-AN-A0FX,
224,TCGA-AN-A0FY,
225,TCGA-AN-A0FZ,
226,TCGA-AN-A0XL,
227,TCGA-AN-A0XN,
228,TCGA-AN-A0XO,
229,TCGA-AN-A0XP,
230,TCGA-AN-A0XT,
231,TCGA-AN-A0XU,
232,TCGA-AN-A0XW,
233,TCGA-AO-A03L,
234,TCGA-AO-A03M,
235,TCGA-AO-A03N,
236,TCGA-AO-A03O,
237,TCGA-AO-A03P,
238,TCGA-AO-A03U,
239,TCGA-AO-A03V,
240,TCGA-AO-A0J2,
241,TCGA-AO-A0J3,
242,TCGA-AO-A0J4,
243,TCGA-AO-A0J5,
244,TCGA-AO-A0J6,
245,TCGA-AO-A0J7,
246,TCGA-AO-A0J8,
247,TCGA-AO-A0JA,
248,TCGA-AO-A0JB,
249,TCGA-AO-A0JC,
250,TCGA-AO-A0JD,
251,TCGA-AO-A0JE,
252,TCGA-AO-A0JF,
253,TCGA-AO-A0JI,
254,TCGA-AO-A0JM,
255,TCGA-AO-A124,
256,TCGA-AO-A125,
257,TCGA-AO-A128,
258,TCGA-AO-A129,
259,TCGA-AO-A12A,
260,TCGA-AO-A12B,
261,TCGA-AO-A12D,
262,TCGA-AO-A12E,
263,TCGA-AO-A12F,
264,TCGA-AO-A12G,
265,TCGA-AO-A12H,
266,TCGA-AO-A1KP,
267,TCGA-AO-A1KR,
268,TCGA-AO-A1KS,
269,TCGA-AQ-A04H,
270,TCGA-AQ-A04J,
271,TCGA-AQ-A0Y5,
272,TCGA-AQ-A54O,
273,TCGA-AQ-A7U7,
274,TCGA-AR-A0TP,
275,TCGA-AR-A0TQ,
276,TCGA-AR-A0TR,
277,TCGA-AR-A0TS,
278,TCGA-AR-A0TT,
279,TCGA-AR-A0TV,
280,TCGA-AR-A0TW,
281,TCGA-AR-A0TX,
282,TCGA-AR-A0TY,
283,TCGA-AR-A0U0,
284,TCGA-AR-A0U3,
285,TCGA-AR-A0U4,
286,TCGA-AR-A1AH,
287,TCGA-AR-A1AJ,
288,TCGA-AR-A1AK,
289,TCGA-AR-A1AL,
290,TCGA-AR-A1AN,
291,TCGA-AR-A1AO,
292,TCGA-AR-A1AP,
293,TCGA-AR-A1AQ,
294,TCGA-AR-A1AS,
295,TCGA-AR-A1AU,
296,TCGA-AR-A1AW,
297,TCGA-AR-A24K,
298,TCGA-AR-A24M,
299,TCGA-AR-A24N,
300,TCGA-AR-A24O,
301,TCGA-AR-A24P,
302,TCGA-AR-A24Q,
303,TCGA-AR-A24T,
304,TCGA-AR-A24U,
305,TCGA-AR-A24V,
306,TCGA-AR-A24W,
307,TCGA-AR-A24X,
308,TCGA-AR-A24Z,
309,TCGA-AR-A252,
310,TCGA-AR-A255,
311,TCGA-AR-A2LE,
312,TCGA-AR-A2LH,
313,TCGA-AR-A2LK,
314,TCGA-AR-A2LL,
315,TCGA-AR-A2LM,
316,TCGA-AR-A2LN,
317,TCGA-AR-A2LQ,
318,TCGA-AR-A5QM,
319,TCGA-AR-A5QN,
320,TCGA-AR-A5QP,
321,TCGA-B6-A0I1,
322,TCGA-B6-A0I5,
323,TCGA-B6-A0I9,
324,TCGA-B6-A0IA,
325,TCGA-B6-A0IB,
326,TCGA-B6-A0IC,
327,TCGA-B6-A0IG,
328,TCGA-B6-A0IH,
329,TCGA-B6-A0IJ,
330,TCGA-B6-A0IK,
331,TCGA-B6-A0IM,
332,TCGA-B6-A0IN,
333,TCGA-B6-A0IO,
334,TCGA-B6-A0RE,
335,TCGA-B6-A0RG,
336,TCGA-B6-A0RH,
337,TCGA-B6-A0RI,
338,TCGA-B6-A0RL,
339,TCGA-B6-A0RM,
340,TCGA-B6-A0RN,
341,TCGA-B6-A0RO,
343,TCGA-B6-A0RQ,
344,TCGA-B6-A0RS,
345,TCGA-B6-A0RU,
346,TCGA-B6-A0RV,
347,TCGA-B6-A0WT,
348,TCGA-B6-A0WV,
349,TCGA-B6-A0WW,
350,TCGA-B6-A0WX,
351,TCGA-B6-A0WY,
352,TCGA-B6-A0WZ,
353,TCGA-B6-A0X0,
354,TCGA-B6-A0X1,
355,TCGA-B6-A0X7,
356,TCGA-B6-A1KC,
357,TCGA-B6-A1KF,
358,TCGA-B6-A1KI,
359,TCGA-B6-A1KN,
360,TCGA-B6-A2IU,
361,TCGA-BH-A0AU,
362,TCGA-BH-A0AV,
363,TCGA-BH-A0AZ,
364,TCGA-BH-A0B0,
365,TCGA-BH-A0B3,
366,TCGA-BH-A0B4,
367,TCGA-BH-A0B5,
368,TCGA-BH-A0B6,
369,TCGA-BH-A0B7,
370,TCGA-BH-A0BA,
371,TCGA-BH-A0BC,
372,TCGA-BH-A0BD,
373,TCGA-BH-A0BF,
374,TCGA-BH-A0BG,
375,TCGA-BH-A0BJ,
376,TCGA-BH-A0BL,
377,TCGA-BH-A0BM,
378,TCGA-BH-A0BO,
379,TCGA-BH-A0BP,
380,TCGA-BH-A0BQ,
381,TCGA-BH-A0BR,
382,TCGA-BH-A0BS,
383,TCGA-BH-A0BT,
384,TCGA-BH-A0BV,
385,TCGA-BH-A0BZ,
386,TCGA-BH-A0C0,
387,TCGA-BH-A0C7,
388,TCGA-BH-A0DD,
389,TCGA-BH-A0DG,
390,TCGA-BH-A0DH,
391,TCGA-BH-A0DK,
392,TCGA-BH-A0DL,
393,TCGA-BH-A0DO,
394,TCGA-BH-A0DP,
395,TCGA-BH-A0DQ,
396,TCGA-BH-A0DX,
397,TCGA-BH-A0DZ,
398,TCGA-BH-A0E1,
399,TCGA-BH-A0E2,
400,TCGA-BH-A0E6,
401,TCGA-BH-A0E7,
402,TCGA-BH-A0E9,
403,TCGA-BH-A0EA,
404,TCGA-BH-A0EE,
405,TCGA-BH-A0EI,
406,TCGA-BH-A0GY,
407,TCGA-BH-A0GZ,
408,TCGA-BH-A0H0,
409,TCGA-BH-A0H3,
410,TCGA-BH-A0H6,
411,TCGA-BH-A0H7,
412,TCGA-BH-A0HA,
413,TCGA-BH-A0HB,
414,TCGA-BH-A0HK,
415,TCGA-BH-A0HP,
416,TCGA-BH-A0HQ,
417,TCGA-BH-A0HW,
418,TCGA-BH-A0HX,
419,TCGA-BH-A0HY,
420,TCGA-BH-A0RX,
421,TCGA-BH-A0W3,
422,TCGA-BH-A0W4,
423,TCGA-BH-A0W5,
424,TCGA-BH-A0W7,
425,TCGA-BH-A18G,
426,TCGA-BH-A18H,
427,TCGA-BH-A18I,
428,TCGA-BH-A18J,
429,TCGA-BH-A18L,
430,TCGA-BH-A18M,
431,TCGA-BH-A18N,
432,TCGA-BH-A18P,
433,TCGA-BH-A18S,
434,TCGA-BH-A18T,
435,TCGA-BH-A18U,
436,TCGA-BH-A18V,
437,TCGA-BH-A1EN,
438,TCGA-BH-A1EO,
439,TCGA-BH-A1ET,
440,TCGA-BH-A1EV,
441,TCGA-BH-A1EW,
442,TCGA-BH-A1EX,
443,TCGA-BH-A1EY,
444,TCGA-BH-A1F0,
445,TCGA-BH-A1F2,
446,TCGA-BH-A1F5,
447,TCGA-BH-A1F6,
448,TCGA-BH-A1F8,
449,TCGA-BH-A1FC,
450,TCGA-BH-A1FE,
451,TCGA-BH-A1FG,
452,TCGA-BH-A1FH,
453,TCGA-BH-A1FJ,
454,TCGA-BH-A1FM,
455,TCGA-BH-A1FN,
456,TCGA-BH-A1FR,
457,TCGA-BH-A1FU,
458,TCGA-BH-A201,
459,TCGA-BH-A202,
460,TCGA-BH-A203,
461,TCGA-BH-A204,
462,TCGA-BH-A209,
463,TCGA-BH-A28Q,
464,TCGA-BH-A42U,
465,TCGA-BH-A42V,
466,TCGA-BH-A5IZ,
467,TCGA-BH-A5J0,
468,TCGA-C8-A12L,
469,TCGA-C8-A12M,
470,TCGA-C8-A12O,
471,TCGA-C8-A12Q,
472,TCGA-C8-A12U,
473,TCGA-C8-A12W,
474,TCGA-C8-A12X,
475,TCGA-C8-A12Y,
476,TCGA-C8-A12Z,
477,TCGA-C8-A130,
478,TCGA-C8-A131,
479,TCGA-C8-A132,
480,TCGA-C8-A134,
481,TCGA-C8-A135,
482,TCGA-C8-A1HE,
483,TCGA-C8-A1HF,
484,TCGA-C8-A1HI,
485,TCGA-C8-A1HJ,
486,TCGA-C8-A1HK,
487,TCGA-C8-A1HL,
488,TCGA-C8-A1HM,
489,TCGA-C8-A1HN,
490,TCGA-C8-A1HO,
491,TCGA-C8-A26V,
492,TCGA-C8-A26W,
493,TCGA-C8-A26X,
494,TCGA-C8-A26Y,
495,TCGA-C8-A26Z,
496,TCGA-C8-A273,
497,TCGA-C8-A274,
498,TCGA-C8-A27A,
499,TCGA-C8-A27B,
500,TCGA-C8-A3M7,
501,TCGA-C8-A8HP,
502,TCGA-C8-A8HQ,
503,TCGA-C8-A8HR,
504,TCGA-D8-A13Z,
505,TCGA-D8-A140,
506,TCGA-D8-A141,
507,TCGA-D8-A143,
508,TCGA-D8-A147,
509,TCGA-D8-A1J8,
510,TCGA-D8-A1J9,
511,TCGA-D8-A1JA,
512,TCGA-D8-A1JB,
513,TCGA-D8-A1JD,
514,TCGA-D8-A1JF,
515,TCGA-D8-A1JG,
516,TCGA-D8-A1JH,
518,TCGA-D8-A1JL,
519,TCGA-D8-A1JN,
520,TCGA-D8-A1JP,
521,TCGA-D8-A1JT,
522,TCGA-D8-A1JU,
523,TCGA-D8-A1X7,
524,TCGA-D8-A1X8,
525,TCGA-D8-A1XA,
526,TCGA-D8-A1XB,
527,TCGA-D8-A1XF,
528,TCGA-D8-A1XG,
529,TCGA-D8-A1XJ,
530,TCGA-D8-A1XK,
531,TCGA-D8-A1XM,
532,TCGA-D8-A1XO,
534,TCGA-D8-A1XS,
535,TCGA-D8-A1XT,
536,TCGA-D8-A1XU,
537,TCGA-D8-A1XV,
538,TCGA-D8-A1XW,
539,TCGA-D8-A1XY,
540,TCGA-D8-A1XZ,
541,TCGA-D8-A1Y0,
542,TCGA-D8-A1Y2,
543,TCGA-D8-A1Y3,
544,TCGA-D8-A27E,
545,TCGA-D8-A27F,
546,TCGA-D8-A27G,
547,TCGA-D8-A27H,
548,TCGA-D8-A27I,
549,TCGA-D8-A27L,
550,TCGA-D8-A27M,
551,TCGA-D8-A27R,
552,TCGA-D8-A27T,
553,TCGA-D8-A27V,
554,TCGA-D8-A27W,
555,TCGA-D8-A3Z6,
556,TCGA-D8-A4Z1,
557,TCGA-D8-A73U,
558,TCGA-D8-A73W,
559,TCGA-E2-A105,
560,TCGA-E2-A107,
561,TCGA-E2-A108,
562,TCGA-E2-A109,
563,TCGA-E2-A10A,
564,TCGA-E2-A10B,
565,TCGA-E2-A10C,
566,TCGA-E2-A10F,
567,TCGA-E2-A14N,
568,TCGA-E2-A14P,
569,TCGA-E2-A14Q,
570,TCGA-E2-A14R,
571,TCGA-E2-A14V,
572,TCGA-E2-A14X,
573,TCGA-E2-A14Y,
574,TCGA-E2-A14Z,
575,TCGA-E2-A150,
576,TCGA-E2-A153,
577,TCGA-E2-A154,
578,TCGA-E2-A156,
579,TCGA-E2-A158,
580,TCGA-E2-A159,
581,TCGA-E2-A15C,
582,TCGA-E2-A15D,
583,TCGA-E2-A15F,
584,TCGA-E2-A15G,
585,TCGA-E2-A15I,
586,TCGA-E2-A15K,
587,TCGA-E2-A15M,
588,TCGA-E2-A15O,
589,TCGA-E2-A15P,
590,TCGA-E2-A15R,
591,TCGA-E2-A15S,
592,TCGA-E2-A15T,
593,TCGA-E2-A1AZ,
594,TCGA-E2-A1B0,
595,TCGA-E2-A1B1,
596,TCGA-E2-A1B4,
597,TCGA-E2-A1B5,
598,TCGA-E2-A1B6,
599,TCGA-E2-A1BC,
600,TCGA-E2-A1BD,
601,TCGA-E2-A1IF,
602,TCGA-E2-A1IG,
603,TCGA-E2-A1IJ,
604,TCGA-E2-A1IK,
605,TCGA-E2-A1IL,
606,TCGA-E2-A1IN,
607,TCGA-E2-A1IU,
608,TCGA-E2-A1L6,
609,TCGA-E2-A1L9,
610,TCGA-E2-A1LA,
611,TCGA-E2-A1LB,
612,TCGA-E2-A1LG,
613,TCGA-E2-A1LH,
614,TCGA-E2-A1LI,
615,TCGA-E2-A1LK,
616,TCGA-E2-A1LL,
617,TCGA-E2-A56Z,
618,TCGA-E2-A570,
619,TCGA-E2-A573,
620,TCGA-E2-A9RU,
621,TCGA-E9-A1N3,
622,TCGA-E9-A1N4,
623,TCGA-E9-A1N8,
624,TCGA-E9-A1NA,
625,TCGA-E9-A1NC,
626,TCGA-E9-A1NE,
627,TCGA-E9-A1NF,
628,TCGA-E9-A1NG,
629,TCGA-E9-A1NH,
630,TCGA-E9-A1QZ,
631,TCGA-E9-A1R0,
632,TCGA-E9-A1R2,
633,TCGA-E9-A1R5,
634,TCGA-E9-A1R6,
635,TCGA-E9-A1R7,
636,TCGA-E9-A1RA,
637,TCGA-E9-A1RB,
638,TCGA-E9-A1RC,
639,TCGA-E9-A1RF,
640,TCGA-E9-A1RH,
641,TCGA-E9-A1RI,
642,TCGA-E9-A226,
643,TCGA-E9-A227,
644,TCGA-E9-A229,
645,TCGA-E9-A22A,
646,TCGA-E9-A22B,
647,TCGA-E9-A22D,
648,TCGA-E9-A22E,
649,TCGA-E9-A22G,
650,TCGA-E9-A22H,
651,TCGA-E9-A243,
652,TCGA-E9-A244,
653,TCGA-E9-A247,
654,TCGA-E9-A248,
655,TCGA-E9-A249,
656,TCGA-E9-A24A,
657,TCGA-E9-A295,
658,TCGA-E9-A2JT,
659,TCGA-E9-A3HO,
660,TCGA-E9-A3QA,
661,TCGA-E9-A3X8,
662,TCGA-E9-A5FK,
663,TCGA-E9-A5FL,
664,TCGA-E9-A5UO,
665,TCGA-EW-A1IX,
666,TCGA-EW-A1IY,
667,TCGA-EW-A1J1,
668,TCGA-EW-A1J2,
669,TCGA-EW-A1J5,
670,TCGA-EW-A1J6,
671,TCGA-EW-A1OX,
672,TCGA-EW-A1OZ,
673,TCGA-EW-A1P0,
674,TCGA-EW-A1P1,
675,TCGA-EW-A1P3,
676,TCGA-EW-A1P5,
677,TCGA-EW-A1P6,
678,TCGA-EW-A1P8,
679,TCGA-EW-A1PA,
680,TCGA-EW-A1PB,
681,TCGA-EW-A1PE,
682,TCGA-EW-A1PG,
683,TCGA-EW-A2FS,
684,TCGA-EW-A2FV,
685,TCGA-EW-A2FW,
686,TCGA-EW-A423,
687,TCGA-EW-A6S9,
688,TCGA-EW-A6SB,
689,TCGA-EW-A6SC,
690,TCGA-GM-A2D9,
691,TCGA-GM-A2DA,
692,TCGA-GM-A2DB,
693,TCGA-GM-A2DC,
694,TCGA-GM-A2DD,
695,TCGA-GM-A2DF,
696,TCGA-GM-A2DH,
697,TCGA-GM-A2DK,
698,TCGA-GM-A2DL,
699,TCGA-GM-A2DM,
700,TCGA-GM-A2DN,
701,TCGA-GM-A2DO,
702,TCGA-GM-A3NW,
703,TCGA-GM-A3XL,
704,TCGA-GM-A4E0,
705,TCGA-HN-A2NL,
706,TCGA-HN-A2OB,
707,TCGA-JL-A3YX,
708,TCGA-LD-A7W5,
709,TCGA-LD-A7W6,
710,TCGA-LD-A9QF,
711,TCGA-LL-A50Y,
712,TCGA-LL-A5YL,
713,TCGA-LL-A5YM,
714,TCGA-LL-A5YN,
715,TCGA-LL-A5YO,
716,TCGA-LL-A5YP,
717,TCGA-LL-A6FQ,
718,TCGA-LL-A6FR,
719,TCGA-LL-A73Y,
720,TCGA-LL-A73Z,
721,TCGA-LL-A740,
722,TCGA-LL-A7T0,
723,TCGA-LL-A8F5,
724,TCGA-LL-A9Q3,
725,TCGA-OK-A5Q2,
726,TCGA-OL-A5D6,
727,TCGA-OL-A5D7,
728,TCGA-OL-A5D8,
729,TCGA-OL-A5RU,
730,TCGA-OL-A5RV,
731,TCGA-OL-A5RX,
732,TCGA-OL-A5RY,
733,TCGA-OL-A5RZ,
734,TCGA-OL-A5S0,
735,TCGA-OL-A66I,
736,TCGA-OL-A66J,
737,TCGA-OL-A66K,
738,TCGA-OL-A66N,
739,TCGA-OL-A66O,
740,TCGA-OL-A66P,
741,TCGA-OL-A6VQ,
742,TCGA-OL-A97C,
743,TCGA-PE-A5DC,
744,TCGA-PE-A5DD,
745,TCGA-PE-A5DE,
746,TCGA-PL-A8LY,
747,TCGA-S3-A6ZG,
748,TCGA-S3-A6ZH,
749,TCGA-S3-AA0Z,
750,TCGA-S3-AA10,
751,TCGA-S3-AA11,
