,train,val
61,TCGA-A2-A0YD,TCGA-AO-A0JM
62,TCGA-A2-A0YE,TCGA-AO-A128
63,TCGA-A2-A0YF,TCGA-AO-A12F
64,TCGA-A2-A0YG,TCGA-AO-A1KR
65,TCGA-A2-A0YI,TCGA-AR-A0TR
66,TCGA-A2-A0YJ,TCGA-AR-A0TS
67,TCGA-A2-A0YK,TCGA-AR-A0TW
68,TCGA-A2-A0YT,TCGA-AR-A0TY
69,TCGA-A2-A1FV,TCGA-AR-A0U4
70,TCGA-A2-A1FW,TCGA-AR-A1AN
71,TCGA-A2-A1FX,TCGA-AR-A1AO
72,TCGA-A2-A1FZ,TCGA-AR-A1AS
73,TCGA-A2-A1G1,TCGA-AR-A24P
74,TCGA-A2-A1G4,TCGA-AR-A24V
75,TCGA-A2-A1G6,TCGA-AR-A255
76,TCGA-A2-A259,TCGA-AR-A2LL
77,TCGA-A2-A25A,TCGA-AR-A2LN
78,TCGA-A2-A25C,TCGA-AR-A2LQ
79,TCGA-A2-A25D,TCGA-AR-A5QM
80,TCGA-A2-A25E,TCGA-B6-A0I9
81,TCGA-A2-A3XU,TCGA-B6-A0IB
82,TCGA-A2-A3XV,TCGA-B6-A0IH
83,TCGA-A2-A3XW,TCGA-B6-A0IM
84,TCGA-A2-A3XX,TCGA-B6-A0IN
85,TCGA-A2-A4S1,TCGA-B6-A0IO
86,TCGA-A7-A0CE,TCGA-B6-A0RE
87,TCGA-A7-A0CH,TCGA-B6-A0RN
88,TCGA-A7-A0CJ,TCGA-B6-A0RS
89,TCGA-A7-A0D9,TCGA-B6-A0WT
90,TCGA-A7-A0DA,TCGA-B6-A0WW
91,TCGA-A7-A0DB,TCGA-B6-A0WZ
92,TCGA-A7-A13E,TCGA-B6-A0X7
93,TCGA-A7-A13G,TCGA-BH-A0B3
94,TCGA-A7-A26E,TCGA-BH-A0B6
95,TCGA-A7-A26F,TCGA-BH-A0BT
96,TCGA-A7-A26G,TCGA-BH-A0BZ
97,TCGA-A7-A26H,TCGA-BH-A0DD
98,TCGA-A7-A26I,TCGA-BH-A0DK
99,TCGA-A7-A2KD,TCGA-BH-A0DL
100,TCGA-A7-A3RF,TCGA-BH-A0DX
101,TCGA-A7-A4SD,TCGA-BH-A0E2
102,TCGA-A7-A4SE,TCGA-BH-A0E7
103,TCGA-A7-A56D,TCGA-BH-A0EI
104,TCGA-A7-A5ZW,TCGA-BH-A0H6
105,TCGA-A7-A6VV,TCGA-BH-A0HX
106,TCGA-A7-A6VW,TCGA-BH-A0RX
107,TCGA-Z7-A8R6,TCGA-BH-A0W4
108,TCGA-A7-A6VY,TCGA-BH-A0W5
109,TCGA-A8-A06R,TCGA-BH-A0W7
110,TCGA-A8-A06X,TCGA-BH-A18T
111,TCGA-A8-A06Y,TCGA-BH-A1EW
112,TCGA-A8-A06Z,TCGA-BH-A1F2
113,TCGA-A8-A075,TCGA-BH-A1F6
114,TCGA-A8-A076,TCGA-BH-A1FE
115,TCGA-A8-A07F,TCGA-BH-A1FN
116,TCGA-A8-A07G,TCGA-BH-A204
117,TCGA-A8-A07I,TCGA-BH-A5J0
118,TCGA-A8-A07J,TCGA-C8-A12L
119,TCGA-A8-A07L,TCGA-C8-A12M
120,TCGA-A8-A07O,TCGA-C8-A12U
121,TCGA-A8-A07P,TCGA-C8-A12Z
122,TCGA-A8-A07U,TCGA-C8-A130
123,TCGA-A8-A07W,TCGA-C8-A132
124,TCGA-A8-A07Z,TCGA-C8-A134
125,TCGA-A8-A082,TCGA-C8-A135
126,TCGA-A8-A084,TCGA-C8-A1HF
127,TCGA-A8-A085,TCGA-C8-A1HM
128,TCGA-A8-A086,TCGA-C8-A26W
129,TCGA-A8-A08A,TCGA-C8-A26Z
130,TCGA-A8-A08B,TCGA-C8-A273
131,TCGA-A8-A08G,TCGA-C8-A274
132,TCGA-A8-A08I,TCGA-C8-A27A
133,TCGA-A8-A08J,TCGA-C8-A3M7
134,TCGA-A8-A08L,TCGA-C8-A8HR
135,TCGA-A8-A08R,TCGA-D8-A1J8
136,TCGA-A8-A08S,TCGA-D8-A1J9
137,TCGA-A8-A08T,TCGA-D8-A1JA
138,TCGA-A8-A08Z,TCGA-D8-A1JF
139,TCGA-A8-A092,TCGA-D8-A1JP
140,TCGA-A8-A093,TCGA-D8-A1XU
141,TCGA-A8-A095,TCGA-D8-A1Y3
142,TCGA-A8-A097,TCGA-D8-A27H
143,TCGA-A8-A099,TCGA-D8-A27I
144,TCGA-A8-A09A,TCGA-D8-A27T
145,TCGA-A8-A09C,TCGA-D8-A73U
146,TCGA-A8-A09D,TCGA-D8-A73W
147,TCGA-A8-A09E,TCGA-E2-A109
148,TCGA-A8-A09I,TCGA-E2-A14Q
149,TCGA-A8-A09K,TCGA-E2-A14Y
150,TCGA-A8-A09N,TCGA-E2-A159
151,TCGA-A8-A09Q,TCGA-E2-A15D
152,TCGA-A8-A09R,TCGA-E2-A15F
153,TCGA-A8-A09T,TCGA-E2-A15M
154,TCGA-A8-A09V,TCGA-E2-A15O
155,TCGA-A8-A09W,TCGA-E2-A15P
156,TCGA-A8-A09X,TCGA-E2-A15T
157,TCGA-A8-A0A2,TCGA-E2-A1IK
158,TCGA-A8-A0A4,TCGA-E2-A1LH
159,TCGA-A8-A0A7,TCGA-E9-A1N3
160,TCGA-A8-A0A9,TCGA-E9-A1NA
161,TCGA-A8-A0AB,TCGA-E9-A1R5
162,TCGA-AC-A23E,TCGA-E9-A226
163,TCGA-AC-A23H,TCGA-E9-A229
164,TCGA-AC-A2B8,TCGA-E9-A22H
165,TCGA-AC-A2BK,TCGA-E9-A244
166,TCGA-AC-A2BM,TCGA-E9-A248
167,TCGA-AC-A2FB,TCGA-E9-A3QA
168,TCGA-AC-A2FF,TCGA-E9-A5FK
169,TCGA-AC-A2FO,TCGA-EW-A1J5
170,TCGA-AC-A2QH,TCGA-EW-A1P6
171,TCGA-AC-A3HN,TCGA-EW-A2FV
172,TCGA-AC-A3OD,TCGA-GM-A2DF
173,TCGA-AC-A3QP,TCGA-GM-A2DN
174,TCGA-AC-A3QQ,TCGA-GM-A2DO
175,TCGA-AC-A3W5,TCGA-JL-A3YX
176,TCGA-AC-A3YI,TCGA-LD-A7W5
177,TCGA-AC-A3YJ,TCGA-LD-A9QF
178,TCGA-AC-A4ZE,TCGA-LL-A5YN
179,TCGA-AC-A5EH,TCGA-LL-A73Z
180,TCGA-AC-A5XU,TCGA-LL-A7T0
181,TCGA-AC-A62X,TCGA-LL-A8F5
182,TCGA-AC-A62Y,TCGA-LL-A9Q3
183,TCGA-AC-A6IV,TCGA-OL-A66J
184,TCGA-AC-A6IW,TCGA-OL-A66O
185,TCGA-AC-A6IX,TCGA-OL-A6VQ
186,TCGA-AC-A6NO,TCGA-S3-AA0Z
187,TCGA-AC-A7VB,TCGA-WT-AB41
188,TCGA-AC-A7VC,
189,TCGA-AC-A8OP,
190,TCGA-AC-A8OQ,
191,TCGA-AC-A8OR,
192,TCGA-AC-A8OS,
193,TCGA-AN-A03Y,
194,TCGA-AN-A041,
195,TCGA-AN-A046,
196,TCGA-AN-A0AJ,
197,TCGA-AN-A0AK,
198,TCGA-AN-A0AL,
199,TCGA-AN-A0AM,
200,TCGA-AN-A0AR,
201,TCGA-AN-A0AT,
202,TCGA-AN-A0FD,
203,TCGA-AN-A0FF,
204,TCGA-AN-A0FJ,
205,TCGA-AN-A0FK,
206,TCGA-AN-A0FL,
207,TCGA-AN-A0FN,
208,TCGA-AN-A0FS,
209,TCGA-AN-A0FT,
210,TCGA-AN-A0FV,
211,TCGA-AN-A0FW,
212,TCGA-AN-A0FY,
213,TCGA-AN-A0XL,
214,TCGA-AN-A0XO,
215,TCGA-AN-A0XS,
216,TCGA-AN-A0XT,
217,TCGA-AN-A0XU,
218,TCGA-AN-A0XW,
219,TCGA-AO-A03L,
220,TCGA-AO-A03M,
221,TCGA-AO-A03N,
222,TCGA-AO-A03O,
223,TCGA-AO-A03P,
224,TCGA-AO-A03R,
225,TCGA-AO-A03T,
226,TCGA-AO-A03V,
227,TCGA-AO-A0J2,
228,TCGA-AO-A0J3,
229,TCGA-AO-A0J4,
230,TCGA-AO-A0J6,
231,TCGA-AO-A0J7,
232,TCGA-AO-A0J9,
233,TCGA-AO-A0JA,
234,TCGA-AO-A0JC,
235,TCGA-AO-A0JD,
236,TCGA-AO-A0JF,
237,TCGA-AO-A0JG,
238,TCGA-AO-A0JI,
239,TCGA-AO-A0JJ,
240,TCGA-AO-A124,
241,TCGA-AO-A125,
242,TCGA-AO-A126,
243,TCGA-AO-A129,
244,TCGA-AO-A12A,
245,TCGA-AO-A12B,
246,TCGA-AO-A12D,
247,TCGA-AO-A12E,
248,TCGA-AO-A12G,
249,TCGA-AO-A12H,
250,TCGA-AO-A1KO,
251,TCGA-AO-A1KP,
252,TCGA-AO-A1KS,
253,TCGA-AO-A1KT,
254,TCGA-AQ-A04H,
255,TCGA-AQ-A04J,
256,TCGA-AQ-A0Y5,
257,TCGA-AQ-A54O,
258,TCGA-AQ-A7U7,
259,TCGA-AR-A0TP,
260,TCGA-AR-A0TQ,
261,TCGA-AR-A0TT,
262,TCGA-AR-A0TV,
263,TCGA-AR-A0TX,
264,TCGA-AR-A0TZ,
265,TCGA-AR-A0U0,
266,TCGA-AR-A0U2,
267,TCGA-AR-A0U3,
268,TCGA-AR-A1AH,
269,TCGA-AR-A1AI,
270,TCGA-AR-A1AJ,
271,TCGA-AR-A1AK,
272,TCGA-AR-A1AL,
273,TCGA-AR-A1AP,
274,TCGA-AR-A1AQ,
275,TCGA-AR-A1AR,
276,TCGA-AR-A1AU,
277,TCGA-AR-A1AV,
278,TCGA-AR-A1AW,
279,TCGA-AR-A1AX,
280,TCGA-AR-A1AY,
281,TCGA-AR-A24H,
282,TCGA-AR-A24K,
283,TCGA-AR-A24L,
284,TCGA-AR-A24M,
285,TCGA-AR-A24N,
286,TCGA-AR-A24O,
287,TCGA-AR-A24Q,
288,TCGA-AR-A24R,
289,TCGA-AR-A24S,
290,TCGA-AR-A24T,
291,TCGA-AR-A24U,
292,TCGA-AR-A24W,
293,TCGA-AR-A24X,
294,TCGA-AR-A24Z,
295,TCGA-AR-A250,
296,TCGA-AR-A251,
297,TCGA-AR-A252,
298,TCGA-AR-A254,
299,TCGA-AR-A256,
300,TCGA-AR-A2LE,
301,TCGA-AR-A2LH,
302,TCGA-AR-A2LK,
303,TCGA-AR-A2LM,
304,TCGA-AR-A2LO,
305,TCGA-AR-A2LR,
306,TCGA-AR-A5QN,
307,TCGA-AR-A5QP,
308,TCGA-AR-A5QQ,
309,TCGA-B6-A0I1,
310,TCGA-B6-A0I2,
311,TCGA-B6-A0I5,
312,TCGA-B6-A0IA,
313,TCGA-B6-A0IC,
314,TCGA-B6-A0IE,
315,TCGA-B6-A0IG,
316,TCGA-B6-A0IJ,
317,TCGA-B6-A0IK,
318,TCGA-B6-A0IP,
319,TCGA-B6-A0IQ,
320,TCGA-B6-A0RG,
321,TCGA-B6-A0RH,
322,TCGA-B6-A0RI,
323,TCGA-B6-A0RL,
324,TCGA-B6-A0RM,
325,TCGA-B6-A0RO,
327,TCGA-B6-A0RQ,
328,TCGA-B6-A0RT,
329,TCGA-B6-A0RU,
330,TCGA-B6-A0RV,
331,TCGA-B6-A0WS,
332,TCGA-B6-A0WV,
333,TCGA-B6-A0WX,
334,TCGA-B6-A0WY,
335,TCGA-B6-A0X0,
336,TCGA-B6-A0X1,
337,TCGA-B6-A0X4,
338,TCGA-B6-A0X5,
339,TCGA-B6-A1KC,
340,TCGA-B6-A1KF,
341,TCGA-B6-A1KI,
342,TCGA-B6-A1KN,
343,TCGA-B6-A2IU,
344,TCGA-BH-A0AU,
345,TCGA-BH-A0AV,
346,TCGA-BH-A0AW,
347,TCGA-BH-A0AY,
348,TCGA-BH-A0AZ,
349,TCGA-BH-A0B0,
350,TCGA-BH-A0B4,
351,TCGA-BH-A0B5,
352,TCGA-BH-A0B7,
353,TCGA-BH-A0B9,
354,TCGA-BH-A0BA,
355,TCGA-BH-A0BC,
356,TCGA-BH-A0BD,
357,TCGA-BH-A0BF,
358,TCGA-BH-A0BG,
359,TCGA-BH-A0BJ,
360,TCGA-BH-A0BL,
361,TCGA-BH-A0BM,
362,TCGA-BH-A0BO,
363,TCGA-BH-A0BP,
364,TCGA-BH-A0BQ,
365,TCGA-BH-A0BR,
366,TCGA-BH-A0BS,
367,TCGA-BH-A0BV,
368,TCGA-BH-A0BW,
369,TCGA-BH-A0C0,
370,TCGA-BH-A0C1,
371,TCGA-BH-A0C3,
372,TCGA-BH-A0C7,
373,TCGA-BH-A0DE,
374,TCGA-BH-A0DG,
375,TCGA-BH-A0DH,
376,TCGA-BH-A0DI,
377,TCGA-BH-A0DO,
378,TCGA-BH-A0DP,
379,TCGA-BH-A0DQ,
380,TCGA-BH-A0DS,
381,TCGA-BH-A0DT,
382,TCGA-BH-A0DV,
383,TCGA-BH-A0DZ,
384,TCGA-BH-A0E0,
385,TCGA-BH-A0E1,
386,TCGA-BH-A0E6,
387,TCGA-BH-A0E9,
388,TCGA-BH-A0EA,
389,TCGA-BH-A0EB,
390,TCGA-BH-A0EE,
391,TCGA-BH-A0GY,
392,TCGA-BH-A0GZ,
393,TCGA-BH-A0H0,
394,TCGA-BH-A0H3,
395,TCGA-BH-A0H5,
396,TCGA-BH-A0H7,
397,TCGA-BH-A0H9,
398,TCGA-BH-A0HA,
399,TCGA-BH-A0HB,
400,TCGA-BH-A0HI,
401,TCGA-BH-A0HK,
402,TCGA-BH-A0HO,
403,TCGA-BH-A0HP,
404,TCGA-BH-A0HQ,
405,TCGA-BH-A0HU,
406,TCGA-BH-A0HW,
407,TCGA-BH-A0HY,
408,TCGA-BH-A0W3,
409,TCGA-BH-A0WA,
410,TCGA-BH-A18F,
411,TCGA-BH-A18G,
412,TCGA-BH-A18H,
413,TCGA-BH-A18I,
414,TCGA-BH-A18J,
415,TCGA-BH-A18L,
416,TCGA-BH-A18M,
417,TCGA-BH-A18N,
418,TCGA-BH-A18P,
419,TCGA-BH-A18Q,
420,TCGA-BH-A18R,
421,TCGA-BH-A18S,
422,TCGA-BH-A18U,
423,TCGA-BH-A18V,
424,TCGA-BH-A1EN,
425,TCGA-BH-A1EO,
426,TCGA-BH-A1ET,
427,TCGA-BH-A1EU,
428,TCGA-BH-A1EV,
429,TCGA-BH-A1EX,
430,TCGA-BH-A1EY,
431,TCGA-BH-A1F0,
432,TCGA-BH-A1F5,
433,TCGA-BH-A1F8,
434,TCGA-BH-A1FC,
435,TCGA-BH-A1FG,
436,TCGA-BH-A1FH,
437,TCGA-BH-A1FJ,
438,TCGA-BH-A1FL,
439,TCGA-BH-A1FM,
440,TCGA-BH-A1FR,
441,TCGA-BH-A1FU,
442,TCGA-BH-A201,
443,TCGA-BH-A202,
444,TCGA-BH-A203,
445,TCGA-BH-A208,
446,TCGA-BH-A209,
447,TCGA-BH-A28Q,
448,TCGA-BH-A2L8,
449,TCGA-BH-A42U,
450,TCGA-BH-A42V,
451,TCGA-BH-A5IZ,
452,TCGA-C8-A12N,
453,TCGA-C8-A12O,
454,TCGA-C8-A12P,
455,TCGA-C8-A12Q,
456,TCGA-C8-A12V,
457,TCGA-C8-A12W,
458,TCGA-C8-A12X,
459,TCGA-C8-A12Y,
460,TCGA-C8-A131,
461,TCGA-C8-A137,
462,TCGA-C8-A138,
463,TCGA-C8-A1HE,
464,TCGA-C8-A1HG,
465,TCGA-C8-A1HI,
466,TCGA-C8-A1HJ,
467,TCGA-C8-A1HK,
468,TCGA-C8-A1HL,
469,TCGA-C8-A1HN,
470,TCGA-C8-A1HO,
471,TCGA-C8-A26V,
472,TCGA-C8-A26X,
473,TCGA-C8-A26Y,
474,TCGA-C8-A275,
475,TCGA-C8-A278,
476,TCGA-C8-A27B,
477,TCGA-C8-A3M8,
478,TCGA-C8-A8HP,
479,TCGA-C8-A8HQ,
480,TCGA-D8-A13Y,
481,TCGA-D8-A13Z,
482,TCGA-D8-A140,
483,TCGA-D8-A141,
484,TCGA-D8-A142,
485,TCGA-D8-A143,
486,TCGA-D8-A145,
487,TCGA-D8-A146,
488,TCGA-D8-A147,
489,TCGA-D8-A1JB,
490,TCGA-D8-A1JC,
491,TCGA-D8-A1JD,
492,TCGA-D8-A1JE,
493,TCGA-D8-A1JG,
494,TCGA-D8-A1JH,
495,TCGA-D8-A1JI,
497,TCGA-D8-A1JK,
498,TCGA-D8-A1JL,
499,TCGA-D8-A1JM,
500,TCGA-D8-A1JN,
501,TCGA-D8-A1JS,
502,TCGA-D8-A1JT,
503,TCGA-D8-A1JU,
504,TCGA-D8-A1X5,
505,TCGA-D8-A1X6,
506,TCGA-D8-A1X7,
507,TCGA-D8-A1X8,
508,TCGA-D8-A1X9,
509,TCGA-D8-A1XA,
510,TCGA-D8-A1XB,
511,TCGA-D8-A1XC,
512,TCGA-D8-A1XF,
513,TCGA-D8-A1XG,
514,TCGA-D8-A1XJ,
515,TCGA-D8-A1XK,
516,TCGA-D8-A1XL,
517,TCGA-D8-A1XM,
518,TCGA-D8-A1XO,
519,TCGA-D8-A1XQ,
521,TCGA-D8-A1XS,
522,TCGA-D8-A1XT,
523,TCGA-D8-A1XV,
524,TCGA-D8-A1XW,
525,TCGA-D8-A1XY,
526,TCGA-D8-A1XZ,
527,TCGA-D8-A1Y0,
528,TCGA-D8-A1Y1,
529,TCGA-D8-A1Y2,
530,TCGA-D8-A27E,
531,TCGA-D8-A27F,
532,TCGA-D8-A27G,
533,TCGA-D8-A27K,
534,TCGA-D8-A27L,
535,TCGA-D8-A27M,
536,TCGA-D8-A27N,
537,TCGA-D8-A27P,
538,TCGA-D8-A27R,
539,TCGA-D8-A27V,
540,TCGA-D8-A27W,
541,TCGA-D8-A3Z6,
542,TCGA-D8-A4Z1,
543,TCGA-D8-A73X,
544,TCGA-E2-A105,
545,TCGA-E2-A107,
546,TCGA-E2-A108,
547,TCGA-E2-A10A,
548,TCGA-E2-A10B,
549,TCGA-E2-A10C,
550,TCGA-E2-A10F,
551,TCGA-E2-A14N,
552,TCGA-E2-A14O,
553,TCGA-E2-A14P,
554,TCGA-E2-A14R,
555,TCGA-E2-A14T,
556,TCGA-E2-A14V,
557,TCGA-E2-A14W,
558,TCGA-E2-A14X,
559,TCGA-E2-A14Z,
560,TCGA-E2-A150,
561,TCGA-E2-A152,
562,TCGA-E2-A153,
563,TCGA-E2-A154,
564,TCGA-E2-A156,
565,TCGA-E2-A158,
566,TCGA-E2-A15A,
567,TCGA-E2-A15C,
568,TCGA-E2-A15G,
569,TCGA-E2-A15H,
570,TCGA-E2-A15I,
571,TCGA-E2-A15J,
572,TCGA-E2-A15K,
573,TCGA-E2-A15L,
574,TCGA-E2-A15R,
575,TCGA-E2-A15S,
576,TCGA-E2-A1AZ,
577,TCGA-E2-A1B0,
578,TCGA-E2-A1B1,
579,TCGA-E2-A1B4,
580,TCGA-E2-A1B5,
581,TCGA-E2-A1B6,
582,TCGA-E2-A1BC,
583,TCGA-E2-A1BD,
584,TCGA-E2-A1IE,
585,TCGA-E2-A1IF,
586,TCGA-E2-A1IG,
587,TCGA-E2-A1IH,
588,TCGA-E2-A1II,
589,TCGA-E2-A1IJ,
590,TCGA-E2-A1IL,
591,TCGA-E2-A1IN,
592,TCGA-E2-A1IO,
593,TCGA-E2-A1IU,
594,TCGA-E2-A1L6,
595,TCGA-E2-A1L7,
596,TCGA-E2-A1L8,
597,TCGA-E2-A1L9,
598,TCGA-E2-A1LA,
599,TCGA-E2-A1LB,
600,TCGA-E2-A1LG,
601,TCGA-E2-A1LI,
602,TCGA-E2-A1LK,
603,TCGA-E2-A1LL,
604,TCGA-E2-A2P6,
605,TCGA-E2-A56Z,
606,TCGA-E2-A570,
607,TCGA-E2-A573,
608,TCGA-E2-A574,
609,TCGA-E2-A576,
610,TCGA-E2-A9RU,
611,TCGA-E9-A1N4,
612,TCGA-E9-A1N5,
613,TCGA-E9-A1N8,
614,TCGA-E9-A1N9,
615,TCGA-E9-A1NC,
616,TCGA-E9-A1ND,
617,TCGA-E9-A1NE,
618,TCGA-E9-A1NF,
619,TCGA-E9-A1NG,
620,TCGA-E9-A1NH,
621,TCGA-E9-A1NI,
622,TCGA-E9-A1QZ,
623,TCGA-E9-A1R0,
624,TCGA-E9-A1R2,
625,TCGA-E9-A1R3,
626,TCGA-E9-A1R6,
627,TCGA-E9-A1R7,
628,TCGA-E9-A1RA,
629,TCGA-E9-A1RB,
630,TCGA-E9-A1RC,
631,TCGA-E9-A1RD,
632,TCGA-E9-A1RE,
633,TCGA-E9-A1RF,
634,TCGA-E9-A1RG,
635,TCGA-E9-A1RH,
636,TCGA-E9-A1RI,
637,TCGA-E9-A227,
638,TCGA-E9-A228,
639,TCGA-E9-A22A,
640,TCGA-E9-A22B,
641,TCGA-E9-A22D,
642,TCGA-E9-A22E,
643,TCGA-E9-A22G,
644,TCGA-E9-A243,
645,TCGA-E9-A247,
646,TCGA-E9-A249,
647,TCGA-E9-A24A,
648,TCGA-E9-A295,
649,TCGA-E9-A2JS,
650,TCGA-E9-A2JT,
651,TCGA-E9-A3HO,
652,TCGA-E9-A3X8,
653,TCGA-E9-A54Y,
654,TCGA-E9-A5FL,
655,TCGA-E9-A5UO,
656,TCGA-E9-A6HE,
657,TCGA-EW-A1IW,
658,TCGA-EW-A1IX,
659,TCGA-EW-A1IY,
660,TCGA-EW-A1IZ,
661,TCGA-EW-A1J1,
662,TCGA-EW-A1J2,
663,TCGA-EW-A1J3,
664,TCGA-EW-A1J6,
665,TCGA-EW-A1OV,
666,TCGA-EW-A1OX,
667,TCGA-EW-A1OY,
668,TCGA-EW-A1OZ,
669,TCGA-EW-A1P0,
670,TCGA-EW-A1P1,
671,TCGA-EW-A1P3,
672,TCGA-EW-A1P4,
673,TCGA-EW-A1P5,
674,TCGA-EW-A1P7,
675,TCGA-EW-A1P8,
676,TCGA-EW-A1PA,
677,TCGA-EW-A1PB,
678,TCGA-EW-A1PD,
679,TCGA-EW-A1PE,
680,TCGA-EW-A1PG,
681,TCGA-EW-A1PH,
682,TCGA-EW-A2FR,
683,TCGA-EW-A2FS,
684,TCGA-EW-A2FW,
685,TCGA-EW-A423,
686,TCGA-EW-A6S9,
687,TCGA-EW-A6SA,
688,TCGA-EW-A6SB,
689,TCGA-EW-A6SC,
690,TCGA-GI-A2C8,
691,TCGA-GM-A2D9,
692,TCGA-GM-A2DA,
693,TCGA-GM-A2DB,
694,TCGA-GM-A2DC,
695,TCGA-GM-A2DD,
696,TCGA-GM-A2DH,
697,TCGA-GM-A2DI,
698,TCGA-GM-A2DK,
699,TCGA-GM-A2DL,
700,TCGA-GM-A2DM,
701,TCGA-GM-A3NW,
702,TCGA-GM-A3XL,
703,TCGA-GM-A4E0,
704,TCGA-HN-A2NL,
705,TCGA-HN-A2OB,
706,TCGA-LD-A66U,
707,TCGA-LD-A74U,
708,TCGA-LD-A7W6,
709,TCGA-LL-A440,
710,TCGA-LL-A50Y,
711,TCGA-LL-A5YL,
712,TCGA-LL-A5YM,
713,TCGA-LL-A5YO,
714,TCGA-LL-A5YP,
715,TCGA-LL-A6FP,
716,TCGA-LL-A6FQ,
717,TCGA-LL-A6FR,
718,TCGA-LL-A73Y,
719,TCGA-LL-A740,
720,TCGA-LL-A7SZ,
721,TCGA-OK-A5Q2,
722,TCGA-OL-A5D6,
723,TCGA-OL-A5D7,
724,TCGA-OL-A5D8,
725,TCGA-OL-A5DA,
726,TCGA-OL-A5RU,
727,TCGA-OL-A5RV,
728,TCGA-OL-A5RW,
729,TCGA-OL-A5RX,
730,TCGA-OL-A5RY,
731,TCGA-OL-A5RZ,
732,TCGA-OL-A5S0,
733,TCGA-OL-A66I,
734,TCGA-OL-A66K,
735,TCGA-OL-A66L,
736,TCGA-OL-A66N,
737,TCGA-OL-A66P,
738,TCGA-OL-A6VO,
739,TCGA-OL-A97C,
740,TCGA-PE-A5DC,
741,TCGA-PE-A5DD,
742,TCGA-PE-A5DE,
743,TCGA-PL-A8LX,
744,TCGA-PL-A8LY,
745,TCGA-PL-A8LZ,
746,TCGA-S3-A6ZF,
747,TCGA-S3-A6ZG,
748,TCGA-S3-A6ZH,
749,TCGA-S3-AA10,
750,TCGA-S3-AA11,
751,TCGA-S3-AA12,
752,TCGA-S3-AA14,
753,TCGA-S3-AA15,
